City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
544,Puerto El Triunfo,SV,89.76,broken clouds,13.2833,-88.55,Hotel Jardin
545,Moroni,KM,77.09,light rain,-11.7022,43.2551,Hotel les Arcades
546,Alugan,PH,78.04,overcast clouds,12.2188,125.4808,JM Lodge
547,Olot,ES,76.8,overcast clouds,42.181,2.4901,Hotel Riu Fluvià
548,Sumenep,ID,79.84,scattered clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
549,Gigmoto,PH,81.5,broken clouds,13.7796,124.39,Cj's Travellers Inn
556,Wewak,PG,76.24,few clouds,-3.5534,143.6268,In Wewak Boutique Hotel
557,Bumbuna,SL,86.7,light rain,9.05,-11.7333,Joel Inn
560,Pangkalanbuun,ID,77.94,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
564,Iquitos,PE,86.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
565,Paracuru,BR,87.82,clear sky,-3.41,-39.0306,Hotel Vento Brasil
568,Cacu,BR,89.51,scattered clouds,-18.5567,-51.1308,Império Hotel
569,Boyolangu,ID,76.1,broken clouds,-8.1181,111.8935,Yos ega cv
572,Nishihara,JP,78.85,broken clouds,26.1842,127.7558,Minshuku Agaihama
582,Konongo,GH,88.56,broken clouds,6.6167,-1.2167,Alice Tee Hotel
583,Dryden,CA,77.29,clear sky,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
590,Bibiani,GH,86.23,broken clouds,6.4635,-2.3194,Rodick Hotel
592,Namatanai,PG,79.2,light rain,-3.6667,152.4333,Seagulls Inn Namatani
600,Praya,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
601,Weligama,LK,79.07,broken clouds,5.9667,80.4167,Weligama Bay Resort
604,Kalmunai,LK,80.78,broken clouds,7.4167,81.8167,VS Villa
607,Hopelchen,MX,87.08,overcast clouds,19.7667,-89.85,Hotel Jaguar
612,Sao Jose Da Coroa Grande,BR,79.54,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
614,Salamanca,ES,79.0,few clouds,40.8333,-6.0,Palacio Carrascalino
615,Kisangani,CD,80.96,moderate rain,0.5167,25.2,Grand Ramela Hotel
616,Puerto Madero,MX,79.0,broken clouds,14.7208,-92.4215,Hotel La Central
621,Saint-Georges,GD,76.68,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
625,Banjar,ID,80.46,broken clouds,-8.19,114.9675,The Hamsa Resort
628,Meulaboh,ID,76.66,overcast clouds,4.1363,96.1285,Kost Pria
629,Salalah,OM,84.29,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
631,Gunjur,GM,87.87,overcast clouds,13.2019,-16.7339,Kuba Lodge
633,Honiara,SB,77.16,broken clouds,-9.4333,159.95,Heritage Park Hotel
636,Jalu,LY,87.71,clear sky,29.0331,21.5482,صاحبة الفخامة
638,Mbanza-Ngungu,CD,76.12,broken clouds,-5.25,14.8667,Hotel Full Business
642,Ojinaga,MX,87.57,clear sky,29.5667,-104.4167,Suites Las Palmas
647,Santa Isabel Do Rio Negro,BR,89.2,scattered clouds,-0.4139,-65.0192,Hotel GSA
648,Ternate,ID,80.67,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
649,Pasuquin,PH,82.04,overcast clouds,18.3328,120.6177,Orchard Resort Hotel And Restaurant
650,La Primavera,CO,82.42,broken clouds,5.4906,-70.4092,La Riviera Hotel Colonial
651,North Platte,US,84.33,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
652,Abha,SA,75.45,clear sky,18.2164,42.5053,Abha Hotel
655,Moa,CU,85.15,scattered clouds,20.6569,-74.9403,Carmen
663,Kutum,SD,88.56,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
665,Sechura,PE,76.35,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
667,Pascagoula,US,80.6,overcast clouds,30.3658,-88.5561,Regency Inn
669,Caravelas,BR,78.57,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
672,Mattru,SL,82.11,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
674,Melfi,IT,81.16,overcast clouds,40.9965,15.6514,HOTEL TERME DI RAPOLLA
675,Gambela,ET,77.52,light rain,8.25,34.5833,Solomon Debebe Hotel
679,Touros,BR,86.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
690,Grand Forks,US,81.59,scattered clouds,47.9417,-97.4337,Warrior Inn
694,San Andres,CO,87.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
697,Custodia,BR,83.35,scattered clouds,-8.0875,-37.6431,Hotel do Sertão
701,Morwa,IN,83.37,overcast clouds,22.9,73.8333,mahakali maa hotel
702,Brignoles,FR,80.31,broken clouds,43.4,6.0667,Inter-hotel La Belle Etape
704,Kaduqli,SD,86.0,broken clouds,11.0167,29.7167,فندق الله جابو
707,Carlisle,US,89.02,few clouds,40.2015,-77.1889,Fairfield Inn & Suites by Marriott Carlisle
712,Altona,DE,77.41,broken clouds,53.55,9.9333,Clipper Elb-Lodge
713,Sabang,ID,83.26,overcast clouds,5.8933,95.3214,Hotel Citra
