City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Wajima,JP,37.4,136.9,64.44,81,100,11.05,overcast clouds
202,Lexington,US,37.9887,-84.4777,82.29,53,0,1.01,clear sky
203,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,73,11,6.2,few clouds
204,Omboue,GA,-1.5746,9.2618,78.6,86,100,7.14,overcast clouds
205,Ampanihy,MG,-24.7,44.75,63.57,83,57,10.13,broken clouds
206,Kahului,US,20.8947,-156.47,76.84,74,20,13.8,few clouds
207,Cimislia,MD,46.52,28.7842,75.34,63,100,2.91,overcast clouds
208,Gravdal,NO,68.1214,13.5031,51.71,75,25,11.01,scattered clouds
209,Ashland,US,40.8167,-82.2665,83.88,48,1,12.66,clear sky
210,Kruisfontein,ZA,-34.0033,24.7314,57.88,61,0,6.71,clear sky
211,Aksu,CN,41.1231,80.2644,81.79,17,36,9.46,scattered clouds
212,Warman,CA,52.3168,-106.5679,73.09,52,75,11.59,broken clouds
213,Saldanha,ZA,-33.0117,17.9442,69.85,53,1,10.4,clear sky
214,Gamba,GA,-2.65,10.0,78.35,83,63,7.47,broken clouds
215,Palampur,IN,32.1167,76.5333,71.11,57,97,6.42,overcast clouds
216,Tasiilaq,GL,65.6145,-37.6368,41.16,98,100,7.38,light rain
217,Pyinmana,MM,19.7333,96.2167,80.98,76,99,5.06,overcast clouds
218,Kuala Lipis,MY,4.1842,102.0468,73.71,96,73,0.89,broken clouds
219,Mosquera,CO,4.7059,-74.2302,66.29,55,40,10.36,scattered clouds
220,Airai,TL,-8.9266,125.4092,57.61,93,68,3.13,broken clouds
221,Vanavara,RU,60.34,102.2797,41.25,59,99,1.77,overcast clouds
222,Pevek,RU,69.7008,170.3133,42.21,92,100,12.15,overcast clouds
223,Beyneu,KZ,45.3167,55.2,83.79,34,26,20.69,scattered clouds
224,Vila,PT,42.0304,-8.1588,73.74,46,26,6.2,scattered clouds
225,Manaure,CO,11.7751,-72.4445,88.66,55,100,19.22,overcast clouds
226,Kapaa,US,22.0752,-159.319,75.52,75,1,13.62,clear sky
227,Ust-Ishim,RU,57.6935,71.1665,60.37,62,50,7.65,scattered clouds
228,Florida,US,28.7505,-82.5001,88.99,69,75,7.63,broken clouds
229,Georgetown,MY,5.4112,100.3354,80.53,91,40,2.3,heavy intensity rain
230,Vila Velha,BR,-20.3297,-40.2925,79.97,83,75,3.44,broken clouds
231,Rundu,NA,-17.9333,19.7667,59.95,30,0,7.29,clear sky
232,Brae,GB,60.3964,-1.353,51.71,65,11,5.86,few clouds
233,Pineville,US,31.3224,-92.4343,79.09,83,1,1.01,clear sky
234,Najran,SA,17.4924,44.1277,93.85,10,10,6.78,clear sky
235,Ozernovskiy,RU,51.5,156.5167,44.62,86,100,19.33,light rain
236,Coihaique,CL,-45.5752,-72.0662,46.35,53,75,4.61,broken clouds
237,Poretskoye,RU,55.1974,46.3291,59.2,80,72,7.92,broken clouds
238,Bandarban,BD,22.1965,92.2262,77.41,96,100,2.8,overcast clouds
239,Te Anau,NZ,-45.4167,167.7167,39.06,91,25,1.79,scattered clouds
240,Owando,CG,-0.4819,15.8999,80.38,66,91,1.36,overcast clouds
241,Bodden Town,KY,19.2833,-81.25,85.98,55,20,4.0,few clouds
242,Lata,PT,40.1629,-8.3327,82.04,46,9,10.87,clear sky
243,Mount Gambier,AU,-37.8333,140.7667,53.51,100,90,10.36,fog
244,Vostok,RU,46.4856,135.8833,45.99,95,77,2.48,broken clouds
245,Saint-Joseph,RE,-21.3667,55.6167,73.76,83,29,1.23,light rain
246,Puerto Narino,CO,-3.7703,-70.3831,82.35,81,45,1.34,scattered clouds
247,Torphins,GB,57.1056,-2.624,67.28,64,57,9.73,broken clouds
248,Karonga,MW,-9.9333,33.9333,71.47,77,52,15.17,light rain
